FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
100001,DEL-NAG,DEL,NAG,2026-04-16,96,Airbus A320,180,130,170363.82,129763.54
100002,PNQ-LKO,PNQ,LKO,2025-12-26,106,Airbus A321neo,220,220,238885.09,180004.05
100003,HYD-COK,HYD,COK,2025-07-07,81,Boeing 737-800,189,152,174820.06,136211.41
100004,MAA-JFK,MAA,JFK,2026-02-01,983,Boeing 787-8,242,159,1767088.4,1828010.65
100005,DEL-MAA,DEL,MAA,2025-12-28,147,Airbus A321neo,220,220,250749.36,231177.81
100006,BOM-JAI,BOM,JAI,2025-03-29,98,Boeing 737-800,189,117,142461.67,137416.13
100007,BLR-SYD,BLR,SYD,2026-06-07,711,Boeing 777-300ER,396,255,2194822.38,1767867.21
100008,AMD-NAG,AMD,NAG,2025-09-22,85,Airbus A321neo,220,187,131715.85,135961.26
100009,BLR-PNQ,BLR,PNQ,2024-07-22,73,Airbus A320,180,160,154087.52,121740.98
100010,AMD-PAT,AMD,PAT,2026-04-08,114,Airbus A320,180,156,160436.57,149561.49
100011,MAA-AMD,MAA,AMD,2025-12-09,126,Airbus A320,180,124,209343.69,159323.87
100012,BLR-SIN,BLR,SIN,2026-02-05,250,Airbus A320,180,137,405015.52,350863.68
100013,AMD-PAT,AMD,PAT,2024-10-05,122,Airbus A321neo,220,203,174144.48,168377.4
100014,CCU-LKO,CCU,LKO,2024-08-25,95,Boeing 737-800,189,166,166242.34,138360.19
100015,MAA-BKK,MAA,BKK,2025-06-13,189,Airbus A320,180,118,336391.06,278499.07
100016,DEL-MAA,DEL,MAA,2024-11-21,159,Airbus A320,180,180,242116.6,190435.56
100017,AMD-NAG,AMD,NAG,2025-09-27,92,Airbus A320,180,173,112182.66,122762.57
100018,BOM-DXB,BOM,DXB,2026-01-05,173,Airbus A320,180,180,270224.83,251902.11
100019,MAA-BKK,MAA,BKK,2024-12-18,200,Boeing 787-8,242,204,390546.54,322695.93
100020,HYD-NAG,HYD,NAG,2024-12-16,73,Airbus A321neo,220,154,138187.95,105814.22
100021,MAA-BKK,MAA,BKK,2025-10-09,198,Airbus A321neo,220,195,357134.48,292005.54
100022,BLR-SIN,BLR,SIN,2026-05-09,266,Boeing 737-800,189,156,368789.18,376011.85
100023,BOM-BLR,BOM,BLR,2026-02-14,103,Airbus A320,180,123,166922.48,132046.43
100024,MAA-AMD,MAA,AMD,2025-11-01,119,Airbus A321neo,220,191,206386.87,187583.78
100025,BLR-BKK,BLR,BKK,2024-09-21,222,Airbus A320,180,151,430338.89,306223.49
100026,MAA-AMD,MAA,AMD,2025-08-18,139,Airbus A320,180,146,188136.0,156255.01
100027,BLR-JFK,BLR,JFK,2026-03-27,988,Boeing 787-8,242,229,1807286.72,1448043.69
100028,DEL-BKK,DEL,BKK,2025-03-25,238,Boeing 737-800,189,140,420302.27,316564.17
100029,BLR-SIN,BLR,SIN,2026-05-19,256,Airbus A320,180,155,413388.63,356017.21
100030,BLR-PNQ,BLR,PNQ,2024-07-10,95,Airbus A321neo,220,205,146682.21,131068.47
100031,DEL-JFK,DEL,JFK,2025-02-04,861,Boeing 777-300ER,396,183,3025804.26,2372653.42
100032,BOM-JAI,BOM,JAI,2025-03-08,86,Airbus A320,180,132,147196.73,131481.91
100033,PNQ-LKO,PNQ,LKO,2026-03-19,120,Boeing 787-8,242,202,219307.52,192924.77
100034,MAA-JFK,MAA,JFK,2026-01-19,999,Airbus A350-900,325,301,1902480.11,2122286.11
100035,DEL-DOH,DEL,DOH,2024-10-27,205,Boeing 787-8,242,161,406058.61,397942.23
100036,BOM-HKG,BOM,HKG,2025-02-01,332,Boeing 787-8,242,188,568057.04,596548.65
100037,PNQ-NAG,PNQ,NAG,2025-11-13,69,Boeing 737-800,189,142,113745.99,111402.32
100038,MAA-DOH,MAA,DOH,2025-04-10,270,Airbus A320,180,164,367641.99,319471.31
100039,BOM-LKO,BOM,LKO,2024-12-13,129,Airbus A320,180,145,183557.71,158164.25
100040,BOM-COK,BOM,COK,2024-09-16,96,Airbus A321neo,220,184,193126.08,171860.73
100041,BLR-SIN,BLR,SIN,2025-07-14,247,Airbus A320,180,128,404931.43,351332.1
100042,CCU-PAT,CCU,PAT,2024-08-10,61,Airbus A320,180,148,123520.83,106578.4
100043,PNQ-NAG,PNQ,NAG,2026-01-25,65,Airbus A320,180,180,116550.0,116663.28
100044,CCU-AMD,CCU,AMD,2025-02-28,139,Boeing 737-800,189,130,192101.0,200666.63
100045,MAA-BKK,MAA,BKK,2024-07-26,201,Boeing 787-8,242,165,442215.32,306786.65
100046,HYD-LHR,HYD,LHR,2026-05-17,584,Boeing 777-300ER,396,396,2527790.87,1752037.51
100047,MAA-JFK,MAA,JFK,2024-10-19,1002,Boeing 787-8,242,163,1957811.9,1588742.05
100048,MAA-AMD,MAA,AMD,2025-10-15,123,Airbus A321neo,220,159,235569.38,182719.18
100049,MAA-JFK,MAA,JFK,2026-05-07,988,Boeing 777-300ER,396,396,3377433.17,2483818.94
100050,AMD-NAG,AMD,NAG,2025-04-12,93,Airbus A321neo,220,198,107232.88,127136.62
100051,DEL-NAG,DEL,NAG,2025-06-05,102,ATR 72-600,72,62,70884.95,71688.02
100052,BOM-JAI,BOM,JAI,2025-03-29,89,Airbus A321neo,220,186,142584.39,138170.76
100053,HYD-COK,HYD,COK,2025-09-20,98,Airbus A320,180,154,146557.54,128845.33
100054,DEL-NAG,DEL,NAG,2025-03-18,95,Boeing 737-800,189,139,129411.15,124910.83
100055,BLR-COK,BLR,COK,2026-06-04,66,Boeing 737-800,189,139,122018.67,98572.51
100056,BOM-HKG,BOM,HKG,2024-09-10,334,Airbus A350-900,325,294,1146270.17,878885.37
100057,HYD-LHR,HYD,LHR,2024-11-05,590,Airbus A350-900,325,325,2299455.28,1413947.8
100058,AMD-NAG,AMD,NAG,2025-08-17,79,Airbus A320,180,133,104250.09,121303.79
100059,BOM-COK,BOM,COK,2025-07-24,112,Airbus A320,180,109,196295.54,147957.54
100060,BLR-JFK,BLR,JFK,2026-01-13,980,Airbus A350-900,325,325,2599966.27,2404578.37
100061,AMD-NAG,AMD,NAG,2026-03-14,89,Airbus A320,180,154,120950.39,120744.27
100062,HYD-NAG,HYD,NAG,2025-10-28,56,Boeing 737-800,189,153,133404.32,104333.29
100063,MAA-BKK,MAA,BKK,2025-04-17,195,Boeing 737-800,189,174,280236.19,273320.31
100064,DEL-SIN,DEL,SIN,2025-02-26,337,Boeing 787-8,242,219,825617.9,576542.01
100065,AMD-PAT,AMD,PAT,2025-03-08,112,Airbus A320,180,156,176685.32,172145.77
100066,BLR-SYD,BLR,SYD,2026-04-06,699,Boeing 777-300ER,396,314,2024458.83,1948221.96
100067,BLR-SIN,BLR,SIN,2024-11-29,257,Airbus A321neo,220,220,598398.89,420536.29
100068,HYD-LKO,HYD,LKO,2024-10-18,116,Boeing 737-800,189,157,151889.99,155935.97
100069,PNQ-NAG,PNQ,NAG,2025-10-19,80,Airbus A321neo,220,149,136205.99,115387.67
100070,AMD-PAT,AMD,PAT,2025-10-19,123,Boeing 787-8,242,149,207176.94,196945.48
100071,MAA-BKK,MAA,BKK,2025-09-27,202,Boeing 737-800,189,167,329258.38,278639.39
100072,BLR-SIN,BLR,SIN,2026-01-13,267,Airbus A321neo,220,220,524301.1,401433.04
100073,PNQ-LKO,PNQ,LKO,2025-03-11,113,Boeing 787-8,242,242,221362.32,188694.23
100074,AMD-NAG,AMD,NAG,2025-03-02,81,ATR 72-600,72,44,55482.07,63296.17
100075,MAA-AMD,MAA,AMD,2025-05-24,124,Airbus A321neo,220,168,259327.07,199973.8
100076,DEL-MAA,DEL,MAA,2024-12-04,155,Airbus A320,180,163,228038.96,199897.06
100077,MAA-AMD,MAA,AMD,2025-08-30,131,Airbus A321neo,220,168,219360.45,173593.04
100078,MAA-JFK,MAA,JFK,2026-06-13,1001,Airbus A350-900,325,236,2638864.91,1962962.15
100079,BLR-DOH,BLR,DOH,2025-06-26,249,Boeing 737-800,189,171,386340.21,331549.27
100080,HYD-PAT,HYD,PAT,2026-01-03,123,Boeing 787-8,242,186,202339.95,185942.63
100081,BOM-COK,BOM,COK,2025-02-10,101,Boeing 737-800,189,164,168104.84,143318.35
100082,HYD-PNQ,HYD,PNQ,2025-08-19,72,Boeing 737-800,189,162,153245.32,108930.98
100083,MAA-JFK,MAA,JFK,2025-12-29,1007,Boeing 777-300ER,396,368,2583071.11,2368551.2
100084,HYD-IXC,HYD,IXC,2026-04-20,128,Boeing 737-800,189,189,208022.0,178224.55
100085,BLR-DOH,BLR,DOH,2025-06-01,243,Airbus A320,180,159,435121.31,312903.7
100086,AMD-NAG,AMD,NAG,2025-09-05,79,ATR 72-600,72,48,64328.49,63178.61
100087,DEL-MAA,DEL,MAA,2025-06-24,159,Airbus A320,180,160,197736.03,183862.95
100088,MAA-AMD,MAA,AMD,2024-08-01,119,Boeing 787-8,242,198,257079.42,214947.72
100089,PNQ-LKO,PNQ,LKO,2024-11-07,106,Airbus A320,180,162,192669.17,150280.0
100090,BOM-JAI,BOM,JAI,2025-03-20,96,Airbus A321neo,220,210,178228.48,153509.88
100091,PNQ-LKO,PNQ,LKO,2024-10-26,121,Boeing 737-800,189,178,209391.03,161274.92
100092,PNQ-LKO,PNQ,LKO,2025-05-16,117,Airbus A321neo,220,204,202400.89,170850.69
100093,MAA-DOH,MAA,DOH,2025-01-20,278,Airbus A321neo,220,162,370303.91,377908.54
100094,BLR-SIN,BLR,SIN,2025-05-05,249,Boeing 737-800,189,174,418395.23,386311.53
100095,BLR-SYD,BLR,SYD,2024-08-12,712,Boeing 787-8,242,188,1263668.77,1113900.45
100096,CCU-LKO,CCU,LKO,2025-06-15,96,Boeing 737-800,189,107,153309.16,126699.42
100097,CCU-LKO,CCU,LKO,2025-07-06,94,Boeing 737-800,189,138,161270.38,137693.43
100098,MAA-JFK,MAA,JFK,2025-12-17,993,Boeing 777-300ER,396,306,3522143.93,3019595.02
100099,AMD-NAG,AMD,NAG,2025-11-08,83,Airbus A321neo,220,220,115148.35,128966.45
100100,MAA-JFK,MAA,JFK,2025-03-09,990,Airbus A350-900,325,275,2465196.97,2424798.59
100101,DEL-MAA,DEL,MAA,2025-10-19,151,Boeing 787-8,242,242,338259.72,238533.94
100102,BLR-SIN,BLR,SIN,2025-05-29,259,Airbus A321neo,220,220,510509.17,377427.33
100103,PNQ-NAG,PNQ,NAG,2026-03-03,71,ATR 72-600,72,56,76770.38,62829.19
100104,AMD-NAG,AMD,NAG,2024-09-26,93,Airbus A320,180,163,94218.91,115302.84
100105,CCU-AMD,CCU,AMD,2025-10-31,141,Boeing 737-800,189,137,138079.2,193635.9
100106,HYD-PNQ,HYD,PNQ,2025-02-12,58,ATR 72-600,72,49,81636.36,58622.29
100107,AMD-PAT,AMD,PAT,2026-01-18,121,Boeing 737-800,189,161,184771.96,165640.27
100108,CCU-LKO,CCU,LKO,2026-06-20,91,ATR 72-600,72,59,64994.13,69565.4
100109,AMD-NAG,AMD,NAG,2025-05-20,87,Airbus A320,180,180,114454.46,113699.42
100110,CCU-NAG,CCU,NAG,2025-02-07,94,ATR 72-600,72,59,103409.9,74332.02
100111,AMD-NAG,AMD,NAG,2026-03-04,88,Boeing 737-800,189,117,125748.67,118143.58
100112,DEL-MAA,DEL,MAA,2024-12-31,151,Airbus A320,180,143,182880.23,186458.13
100113,BLR-SIN,BLR,SIN,2024-08-25,248,Airbus A320,180,135,530561.95,349163.97
100114,BLR-SIN,BLR,SIN,2025-11-15,268,Airbus A320,180,161,337979.36,315636.9
100115,HYD-LKO,HYD,LKO,2025-06-14,109,Airbus A321neo,220,137,134852.95,155094.64
100116,MAA-AMD,MAA,AMD,2024-09-05,130,Boeing 787-8,242,131,191461.94,195774.26
100117,MAA-AMD,MAA,AMD,2024-11-30,119,Boeing 737-800,189,189,241373.35,179425.47
100118,MAA-BKK,MAA,BKK,2026-01-23,185,Airbus A320,180,158,316860.82,276615.09
100119,BLR-SYD,BLR,SYD,2025-12-18,693,Boeing 777-300ER,396,358,2958670.99,1854176.21
100120,MAA-DOH,MAA,DOH,2025-09-13,269,Airbus A321neo,220,182,545496.98,399468.16
100121,BLR-SYD,BLR,SYD,2025-01-29,706,Airbus A350-900,325,282,2019149.12,1641927.11
100122,AMD-NAG,AMD,NAG,2026-01-17,75,Airbus A320,180,178,100966.4,113113.74
100123,HYD-LKO,HYD,LKO,2025-04-25,112,Airbus A321neo,220,140,152498.2,151279.78
100124,AMD-NAG,AMD,NAG,2024-09-11,91,Airbus A320,180,127,132217.31,121174.47
100125,HYD-LHR,HYD,LHR,2026-05-09,589,Boeing 777-300ER,396,393,2127816.05,1728027.28
100126,PNQ-LKO,PNQ,LKO,2024-11-30,108,Airbus A320,180,172,182921.21,159782.98
100127,MAA-JFK,MAA,JFK,2025-05-11,986,Boeing 787-8,242,201,2103933.48,1678827.87
100128,MAA-JFK,MAA,JFK,2025-10-23,993,Boeing 777-300ER,396,351,3239490.03,2827581.43
100129,BLR-SIN,BLR,SIN,2025-11-18,259,Boeing 787-8,242,196,504516.78,433760.91
100130,HYD-COK,HYD,COK,2026-03-11,96,Airbus A321neo,220,197,184323.29,135198.11
100131,DEL-MAA,DEL,MAA,2026-02-10,166,Boeing 787-8,242,199,297070.83,239306.16
100132,MAA-AMD,MAA,AMD,2026-02-11,138,Boeing 737-800,189,133,203180.16,158394.74
100133,BOM-HKG,BOM,HKG,2025-04-11,341,Airbus A350-900,325,316,819130.01,740369.82
100134,HYD-COK,HYD,COK,2024-10-02,90,Boeing 737-800,189,107,128166.87,129576.64
100135,CCU-AMD,CCU,AMD,2024-12-12,138,Airbus A321neo,220,177,201317.09,202086.28
100136,BLR-SIN,BLR,SIN,2026-01-15,270,Airbus A321neo,220,220,418750.44,364233.08
100137,DEL-MAA,DEL,MAA,2025-08-18,148,Airbus A321neo,220,161,281452.01,235204.42
100138,MAA-JFK,MAA,JFK,2025-10-17,1004,Boeing 787-8,242,189,2192727.3,1601759.14
100139,PNQ-LKO,PNQ,LKO,2026-04-02,121,Airbus A321neo,220,181,216270.52,167278.11
100140,MAA-AMD,MAA,AMD,2025-04-21,121,Airbus A321neo,220,190,237393.73,185528.14
100141,BLR-SIN,BLR,SIN,2026-03-16,271,Airbus A320,180,135,412252.2,367457.37
100142,BLR-SIN,BLR,SIN,2025-08-22,247,Airbus A321neo,220,220,513585.92,369370.33
100143,DEL-JFK,DEL,JFK,2024-10-29,871,Boeing 777-300ER,396,224,2823604.48,2458480.24
100144,BOM-BLR,BOM,BLR,2026-06-23,86,Airbus A321neo,220,203,135895.21,136926.61
100145,MAA-JFK,MAA,JFK,2026-01-16,988,Boeing 777-300ER,396,396,3250728.61,2450182.87
100146,PNQ-LKO,PNQ,LKO,2024-11-17,121,Boeing 737-800,189,151,189172.75,163253.68
